Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Pollution_Level
130,16525,51,2,-0.20107110354971808,Good,0.028695536328492397,Good,-0.5830483105713736,Good,-0.31973111496244455,Moderate,Low
22,16546,41,0,-0.20107110354971808,Good,-1.0745809429577966,Good,-0.3927170060713926,Good,-0.5022286007764948,Good,Low
75,16582,66,2,-0.20107110354971808,Good,0.13546422787232681,Good,-0.20238570157141153,Good,-0.04598488624136925,Moderate,Low
123,16618,34,0,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.5830483105713736,Good,-0.8854733209860002,Good,Low
54,16699,22,0,-0.7469152898955511,Good,-0.46955835754273495,Good,-0.5830483105713736,Good,-1.1409698011256704,Good,Low
166,16713,54,2,-0.20107110354971808,Good,-0.7542748683262934,Good,1.510596038928418,Good,-0.26498186921822947,Moderate,Low
58,16749,62,2,-0.20107110354971808,Good,-0.006894027519452412,Good,-0.012054397071430436,Good,-0.11898388056698933,Moderate,Low
15,16751,64,2,-0.20107110354971808,Good,-0.22043141060712126,Good,0.7492708209284938,Good,-0.0824843834041793,Moderate,Low
130,16756,54,2,-0.20107110354971808,Good,0.20664335556821645,Good,-0.3927170060713926,Good,-0.26498186921822947,Moderate,Low
47,16768,142,4,0.8906172691419479,Good,1.9149424202695673,Moderate,1.129933429928456,Good,1.3409960059454122,Unhealthy for Sensitive Groups,Low
33,16793,68,2,0.3447730827961149,Good,1.1675615794627263,Moderate,-0.3927170060713926,Good,-0.1919828748926094,Moderate,Low
109,16880,41,0,-0.20107110354971808,Good,-0.3983792298468453,Good,0.5589395164285128,Good,-0.5022286007764948,Good,Low
69,16894,158,3,0.8906172691419479,Good,3.6944206126668075,Unhealthy for Sensitive Groups,-0.3927170060713926,Good,1.6329919832478925,Unhealthy,High
116,16902,158,3,-0.20107110354971808,Good,0.5269494301997197,Good,-0.3927170060713926,Good,1.6329919832478925,Unhealthy,High
128,16911,83,2,-0.20107110354971808,Good,0.3845911748079405,Good,-0.5830483105713736,Good,0.2642608396425161,Moderate,Low
54,16944,59,2,-0.20107110354971808,Good,-0.18484184675917645,Good,0.17827690742855065,Good,-0.17373312631120438,Moderate,Low
69,16960,154,3,0.8906172691419479,Good,2.30642762259696,Unhealthy for Sensitive Groups,-0.20238570157141153,Good,1.5599929889222726,Unhealthy,High
75,16979,55,2,-0.20107110354971808,Good,0.4201807386558853,Good,-0.5830483105713736,Good,-0.24673212063682448,Moderate,Low
166,16006,72,2,-0.20107110354971808,Good,-1.1101705068057415,Good,3.794571692928191,Good,0.06351360524706087,Moderate,Low
69,16019,161,3,0.3447730827961149,Good,1.2743302710065607,Moderate,-0.5830483105713736,Good,1.6877412289921077,Unhealthy,High
123,16032,28,0,-0.20107110354971808,Good,-0.25602097445506605,Good,-0.20238570157141153,Good,-0.73947533233476,Good,Low
69,16080,118,4,0.3447730827961149,Good,-0.18484184675917645,Good,-0.20238570157141153,Good,0.9030020399916918,Unhealthy for Sensitive Groups,Low
22,16091,33,0,-0.7469152898955511,Good,-0.8966331237180727,Good,-0.3927170060713926,Good,-0.6482265894277349,Good,Low
